doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission,category,tags
chinh-sach-bao-mat,data/k4_ecommerce/chinh-sach-bao-mat.md,CHÍNH SÁCH BẢO MẬT,https://help.shopee.vn/portal/4/article/77244,2026-08-03,not-stated,public-page,privacy_security,"bảo mật,quyền riêng tư,dữ liệu cá nhân,thông tin người dùng,privacy,policy"
chinh-sach-bao-mat-phien-ban-truoc,data/k4_ecommerce/chinh-sach-bao-mat-phien-ban-truoc.md,Chính sách Bảo mật (phiên bản trước),https://help.shopee.vn/portal/4/article/77475,2026-08-03,not-stated,public-page,privacy_security,"bảo mật,quyền riêng tư,dữ liệu cá nhân,phiên bản cũ,privacy"
chinh-sach-cam-han-che-san-pham,data/k4_ecommerce/chinh-sach-cam-han-che-san-pham.md,CHÍNH SÁCH CẤM/HẠN CHẾ SẢN PHẨM,https://help.shopee.vn/portal/4/article/77247,2026-08-03,not-stated,public-page,seller,"sản phẩm cấm,sản phẩm hạn chế,đăng bán,vi phạm,prohibited items,restricted products"
chinh-sach-van-chuyen-shopee,data/k4_ecommerce/chinh-sach-van-chuyen-shopee.md,CHÍNH SÁCH VẬN CHUYỂN SHOPEE (phiên bản trước đây),https://help.shopee.vn/portal/4/article/77484,2026-08-03,not-stated,public-page,shipping,"vận chuyển,giao hàng,phí vận chuyển,đơn hàng,logistics,chính sách vận chuyển"
dang-ky-tai-khoan,data/k4_ecommerce/dang-ky-tai-khoan.md,[Thành viên mới] Tại sao tôi không thể đăng ký tạo tài khoản Shopee bằng số điện thoại của mình?,https://help.shopee.vn/portal/4/article/79292,2026-08-03,not-stated,public-page,account,"đăng ký,tạo tài khoản,số điện thoại,OTP,tài khoản mới,xác minh"
dieu-khoan-dich-vu,data/k4_ecommerce/dieu-khoan-dich-vu.md,ĐIỀU KHOẢN DỊCH VỤ,https://help.shopee.vn/portal/4/article/77243,2026-08-03,not-stated,public-page,legal_policy,"điều khoản dịch vụ,terms of service,quyền và nghĩa vụ,pháp lý"
dieu-khoan-dich-vu-shopee-mall,data/k4_ecommerce/dieu-khoan-dich-vu-shopee-mall.md,Điều Khoản Dịch Vụ của Shopee Mall,https://help.shopee.vn/portal/4/article/77262,2026-08-03,not-stated,public-page,shopee_mall,"Shopee Mall,điều khoản,người bán Mall,đối tác,mall policy"
dieu-khoan-shopee,data/k4_ecommerce/dieu-khoan-shopee.md,Điều khoản Shopee,https://help.shopee.vn/portal/4/article/77242,2026-08-03,not-stated,public-page,legal_policy,"điều khoản,điều kiện sử dụng,pháp lý,người dùng,terms"
lien-he-cskh,data/k4_ecommerce/lien-he-cskh.md,[Dịch vụ] Cách liên hệ Chăm sóc khách hàng Shopee,https://help.shopee.vn/portal/4/article/79191,2026-08-03,not-stated,public-page,customer_support,"CSKH,chăm sóc khách hàng,hotline,chat,email,hỗ trợ"
quy-dinh-dang-ban-san-pham,data/k4_ecommerce/quy-dinh-dang-ban-san-pham.md,QUY ĐỊNH VỀ ĐĂNG BÁN SẢN PHẨM TRÊN SHOPEE,https://help.shopee.vn/portal/4/article/77246,2026-08-03,not-stated,public-page,seller,"đăng bán,sản phẩm,quy định,listing,người bán,vi phạm"
quy-trinh-giai-quyet-tranh-chap,data/k4_ecommerce/quy-trinh-giai-quyet-tranh-chap.md,QUY TRÌNH GIẢI QUYẾT TRANH CHẤP/ XỬ LÝ KHIẾU NẠI,https://help.shopee.vn/portal/4/article/77265,2026-08-03,not-stated,public-page,dispute,"khiếu nại,tranh chấp,giải quyết,tố cáo,dispute,complaint"
shopee-dam-bao,data/k4_ecommerce/shopee-dam-bao.md,[Mua sắm an toàn] Shopee Đảm Bảo là gì?,https://help.shopee.vn/portal/4/article/79314,2026-08-03,not-stated,public-page,buyer,"Shopee Đảm Bảo,thanh toán,bảo vệ người mua,escrow,mua hàng an toàn"
theo-doi-van-chuyen,data/k4_ecommerce/theo-doi-van-chuyen.md,[Thành viên mới] Cách theo dõi tình trạng vận chuyển của đơn hàng?,https://help.shopee.vn/portal/4/article/79215,2026-08-03,not-stated,public-page,shipping,"theo dõi đơn hàng,tracking,vận chuyển,giao hàng,trạng thái đơn"
tra-hang-doi-y-khong-con-nhu-cau,data/k4_ecommerce/tra-hang-doi-y-khong-con-nhu-cau.md,"Những điều cần biết về Trả hàng do ""Đổi ý/không còn nhu cầu""",https://help.shopee.vn/portal/4/article/204305,2026-08-03,not-stated,public-page,returns_refunds,"đổi ý,không còn nhu cầu,trả hàng,hoàn tiền,buyer remorse"
tra-hang-hoan-tien-gui-yeu-cau,data/k4_ecommerce/tra-hang-hoan-tien-gui-yeu-cau.md,[Trả hàng/ Hoàn tiền] Hướng dẫn gửi yêu cầu Trả hàng/ Hoàn tiền,https://help.shopee.vn/portal/4/article/79233,2026-08-03,not-stated,public-page,returns_refunds,"gửi yêu cầu,trả hàng,hoàn tiền,refund request,return"
tra-hang-hoan-tien-quy-dinh-chung,data/k4_ecommerce/tra-hang-hoan-tien-quy-dinh-chung.md,[Trả hàng/Hoàn tiền] Những quy định chung về Trả hàng/Hoàn tiền của Shopee,https://help.shopee.vn/portal/4/article/188931,2026-08-03,not-stated,public-page,returns_refunds,"quy định,trả hàng,hoàn tiền,điều kiện,chính sách"
tra-hang-hoan-tien-quy-trinh-xu-ly,data/k4_ecommerce/tra-hang-hoan-tien-quy-trinh-xu-ly.md,[Trả hàng/ Hoàn tiền] Quy trình Shopee xử lý yêu cầu Trả hàng/ Hoàn tiền,https://help.shopee.vn/portal/4/article/190242,2026-08-03,not-stated,public-page,returns_refunds,"quy trình,xử lý,trả hàng,hoàn tiền,refund process"
